SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
RELIANCE,EQ,2580.55,2606.85,2573.15,2590.25,2588.45,2584.95,2015270,5215808110.05,01-JAN-2024,115559,INE002A01018,
RELIANCE,EQ,2585.0,2615.0,2573.0,2611.7,2609.0,2590.25,3724400,9671331567.5,02-JAN-2024,175872,INE002A01018,
