number,value,datetime_start,datetime_complete,duration,params_overbought,params_oversold,params_rsi_period,state
0,0.3027970999634336,2026-01-31 20:15:28.897560,2026-01-31 20:15:31.229445,0 days 00:00:02.331885,71,28,14,COMPLETE
1,0.15449209027142963,2026-01-31 20:15:31.229725,2026-01-31 20:15:33.654556,0 days 00:00:02.424831,77,30,20,COMPLETE
2,0.14965491897124283,2026-01-31 20:15:33.654871,2026-01-31 20:15:36.403908,0 days 00:00:02.749037,83,23,11,COMPLETE
3,0.6345729946076978,2026-01-31 20:15:36.404086,2026-01-31 20:15:38.789102,0 days 00:00:02.385016,74,15,10,COMPLETE
4,0.39787167661554806,2026-01-31 20:15:38.789348,2026-01-31 20:15:41.282557,0 days 00:00:02.493209,84,22,17,COMPLETE
5,0.8237872235970407,2026-01-31 20:15:41.282966,2026-01-31 20:15:43.734762,0 days 00:00:02.451796,71,24,20,COMPLETE
6,0.39787167661554806,2026-01-31 20:15:43.734958,2026-01-31 20:15:46.076614,0 days 00:00:02.341656,83,21,16,COMPLETE
7,0.0,2026-01-31 20:15:46.076788,2026-01-31 20:15:48.207022,0 days 00:00:02.130234,78,15,13,COMPLETE
