Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Aditya BSL Global Emerging Opp Dir Gr	Direct Plan	Global - Other			-1.35%	-4.94%	-2.98%	-1.49%	-2.17%	13.94%	9.10%	14.89%	9.94%	10.51%
Bandhan Value Dir Gr	Direct Plan	Value	4.0		-0.86%	-10.74%	-12.68%	-8.38%	-13.29%	-3.18%	1.17%	14.86%	16.77%	16.43%
Franklin India Technology Dir Gr	Direct Plan	Sector - Technology			-1.74%	-6.74%	-21.40%	-15.44%	-21.18%	-9.07%	-2.33%	14.85%	9.91%	14.90%
Tata ELSS Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-0.43%	-11.38%	-11.32%	-6.77%	-12.02%	-0.14%	5.23%	14.85%	12.97%	14.68%
Union Large & Midcap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		-2.32%	-11.15%	-11.68%	-8.83%	-11.68%	-0.16%	3.56%	14.82%	13.44%	
Sundaram LT Mic cap Tax Ad Sr III Dir Gr	Direct Plan	ELSS (Tax Savings)			1.08%	-9.54%	-12.15%	-11.36%	-13.29%	2.20%	1.92%	14.81%	19.23%	
Quant Infrastructure Dir Gr	Direct Plan	Equity - Infrastructure	4.0		-3.60%	-12.74%	-15.53%	-14.47%	-15.53%	-7.90%	-7.07%	14.79%	20.29%	18.84%
Aditya BSL Multi-Cap Dir Gr	Direct Plan	Multi-Cap	3.0		-2.20%	-10.38%	-11.99%	-9.34%	-11.99%	-1.38%	3.59%	14.74%		
HSBC Small Cap Fund Dir Gr	Direct Plan	Small-Cap	4.0		1.15%	-9.85%	-12.16%	-13.42%	-13.09%	-5.42%	-0.15%	14.69%	18.97%	18.27%
Canara Robeco Focused Dir Gr	Direct Plan	Focused Fund	4.0		-2.72%	-11.40%	-13.78%	-11.07%	-13.78%	-2.72%	4.51%	14.68%		
Bank of India Midcap Tax Ser 2 Dir Gr	Direct Plan	Equity - Other			-2.12%	-9.07%	-12.96%	-11.81%	-12.96%	0.34%	-0.03%	14.68%	12.42%	
HDFC Housing Opportunities Dir Gr	Direct Plan	Equity - Other			-2.42%	-14.12%	-13.07%	-11.73%	-13.07%	-5.35%	-1.64%	14.67%	13.99%	
Kotak Flexicap Dir Gr	Direct Plan	Flexi Cap	4.0		-0.21%	-11.95%	-11.09%	-8.23%	-11.88%	-0.12%	4.46%	14.67%	12.15%	14.39%
ICICI Pru ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-0.23%	-10.39%	-11.77%	-9.61%	-12.55%	-2.10%	3.39%	14.66%	12.39%	13.59%
SBI Midcap Dir Gr	Direct Plan	Mid-Cap	3.0		-0.50%	-11.48%	-10.85%	-7.29%	-11.90%	-4.55%	2.23%	14.63%	15.19%	14.82%
HDFC Dividend Yield Dir Gr	Direct Plan	Dividend Yield			-2.24%	-10.78%	-12.94%	-9.94%	-12.94%	-3.21%	1.04%	14.62%	16.54%	
UTI Nifty200 Momentum 30 Index Dir Gr	Direct Plan	Index Funds			-3.31%	-13.67%	-13.05%	-9.47%	-13.05%	-3.93%	-5.80%	14.59%	13.20%	
Bank of India Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-2.73%	-11.42%	-11.27%	-6.39%	-11.27%	1.69%	0.39%	14.57%		
Bandhan Multi Cap Dir Gr	Direct Plan	Multi-Cap	3.0		-2.57%	-11.22%	-13.88%	-10.10%	-13.88%	-2.48%	2.82%	14.56%		
MiraeAstGlbElctrc&AtnmsVhclsEqPsvFOFDrGr	Direct Plan	Global - Other			0.95%	-3.49%	6.04%	15.04%	7.25%	58.36%	21.88%	14.53%		
Groww Value Dir Gr	Direct Plan	Value	3.0		-2.86%	-11.00%	-13.59%	-11.08%	-13.59%	-2.01%	1.32%	14.53%	12.62%	11.65%
ICICI Pru US Bluechip Equity Dir Gr	Direct Plan	Global - Other			-1.96%	-7.45%	-3.94%	3.57%	-3.25%	19.15%	8.95%	14.48%	12.10%	15.27%
LIC MF Value Dir Gr	Direct Plan	Value	2.0		-2.42%	-10.57%	-7.44%	-3.92%	-7.44%	3.72%	4.56%	14.42%	12.72%	
Franklin India Lrg & Md Cp Dir Gr	Direct Plan	Large & Mid-Cap	2.0		-0.54%	-8.96%	-13.77%	-10.31%	-14.17%	-1.98%	4.15%	14.42%	12.03%	11.79%
JM Focused Dir Growth Option	Direct Plan	Focused Fund	3.0		-2.12%	-11.97%	-15.17%	-13.41%	-15.17%	-7.42%	-0.41%	14.38%	12.43%	13.89%
Baroda BNP P Busnss CycleDirGr	Direct Plan	Equity - Other			-2.49%	-10.31%	-12.07%	-6.55%	-12.07%	-1.51%	1.06%	14.35%		
Quant Large and Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	4.0		-2.15%	-8.23%	-13.22%	-10.02%	-13.22%	-7.77%	-4.44%	14.30%	15.67%	15.66%
PGIM India Global Eq Opp FoF Dir Gr	Direct Plan	Global - Other			-5.23%	-6.71%	-11.24%	-13.18%	-10.74%	9.32%	2.75%	14.29%	6.77%	13.10%
Bandhan Nifty200 Momentum 30 Idx Dir Gr	Direct Plan	Index Funds			-0.92%	-13.70%	-12.25%	-9.57%	-13.10%	-4.25%	-6.38%	14.27%		
Canara Robeco Value Dir Gr	Direct Plan	Value	3.0		-2.48%	-10.84%	-13.30%	-9.15%	-13.30%	-3.57%	2.06%	14.22%		
Motilal Oswal Nifty 200 Momt 30 Dir Gr	Direct Plan	Index Funds			-3.31%	-13.69%	-13.05%	-9.67%	-13.05%	-4.29%	-6.15%	14.20%		
UTI Banking & Fin Svcs Dir Gr	Direct Plan	Sector - Financial Services	3.0		-1.00%	-15.02%	-12.35%	-7.17%	-13.10%	-1.14%	7.05%	14.20%	11.66%	12.65%
ICICI Prudential Housing Opps Dir Gr	Direct Plan	Equity - Other			-1.93%	-11.20%	-10.81%	-8.86%	-10.81%	-1.81%	3.56%	14.19%		
Taurus Ethical Dir Gr	Direct Plan	Equity - Other			-1.95%	-9.16%	-11.57%	-6.99%	-11.57%	-3.55%	-0.03%	14.19%	11.31%	13.08%
Invesco India Multicap Dir Gr	Direct Plan	Multi-Cap	2.0		-0.24%	-11.59%	-14.03%	-14.85%	-14.70%	-9.09%	0.79%	14.18%	13.04%	14.22%
Templeton India Dividend Yld Dir Gr	Direct Plan	Dividend Yield			-0.29%	-10.16%	-8.64%	-6.44%	-9.33%	-3.63%	1.77%	14.15%	15.69%	15.68%
Bandhan Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-0.53%	-10.35%	-12.59%	-8.77%	-13.17%	-1.10%	2.93%	14.12%	11.42%	11.44%
Sundaram Long Term Tax Adv Ser II Dir Gr	Direct Plan	ELSS (Tax Savings)			0.08%	-8.33%	-8.01%	-1.98%	-8.06%	5.88%	5.94%	14.12%	13.03%	13.76%
Mirae Asset ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	5.0		-2.79%	-12.14%	-14.63%	-9.60%	-14.63%	-0.73%	4.32%	14.10%	12.58%	17.66%
Baroda BNP Paribas Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-2.35%	-10.82%	-12.57%	-7.73%	-12.57%	-1.99%	2.28%	14.10%		
Aditya BSL Bkng & Fin Srvcs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-1.44%	-14.37%	-14.60%	-8.05%	-14.96%	-1.11%	5.39%	14.09%	11.51%	14.18%
Baroda BNP P Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-0.84%	-10.95%	-11.38%	-7.34%	-12.03%	-2.84%	1.53%	14.05%	12.18%	13.49%
ICICI Pru Nifty 200 Momt 30 Dir Gr	Direct Plan	Index Funds			-3.32%	-13.68%	-13.05%	-9.49%	-13.05%	-4.02%	-6.14%	13.97%		
Edelweiss Greater China Eq Off-sh Dir Gr	Direct Plan	Global - Other			-1.59%	-2.06%	6.55%	6.99%	6.55%	41.86%	31.56%	13.96%	2.26%	13.03%
ICICI Pru Smallcap Dir Gr	Direct Plan	Small-Cap	3.0		-0.27%	-11.45%	-12.16%	-13.57%	-13.14%	-2.26%	1.03%	13.95%	16.71%	16.06%
ICICI Pru MNC Dir Gr	Direct Plan	Equity - Other			0.35%	-9.21%	-9.70%	-6.06%	-10.54%	2.61%	3.80%	13.90%	13.30%	
Canara Robeco Small Cap Dir Gr	Direct Plan	Small-Cap	4.0		-0.90%	-9.93%	-12.46%	-11.45%	-12.46%	-1.32%	2.37%	13.89%	18.42%	
Quant ESG Integration Strat Dir Gr	Direct Plan	Equity - ESG	5.0		-2.41%	-11.60%	-13.89%	-9.39%	-13.89%	-2.82%	-1.52%	13.87%	18.72%	
Mirae Asset Great Consumer Dir Gr	Direct Plan	Equity - Consumption	5.0		0.80%	-10.43%	-15.38%	-15.51%	-16.07%	-3.43%	1.84%	13.84%	13.98%	16.31%
ICICI Pru Quant Dir Gr	Direct Plan	Equity - Other			-2.42%	-9.81%	-11.89%	-7.90%	-11.89%	-3.26%	4.34%	13.83%	13.30%	
Mahindra Manulife Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-2.19%	-11.02%	-13.67%	-9.87%	-13.67%	-2.97%	2.38%	13.78%		
Taurus Largecap Equity Dir Gr	Direct Plan	Large-Cap	2.0		-2.45%	-9.09%	-11.48%	-6.94%	-11.48%	-1.38%	1.05%	13.75%	10.50%	10.18%
Tata Focused Dir Gr	Direct Plan	Focused Fund	4.0		-0.89%	-11.22%	-12.33%	-10.01%	-13.01%	-3.21%	1.33%	13.72%	12.46%	
Kotak Banking & Financial Svcs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-1.40%	-15.05%	-12.50%	-6.94%	-13.19%	-0.87%	7.14%	13.70%		
Quantum ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-2.44%	-11.34%	-14.61%	-11.04%	-14.61%	-6.79%	1.92%	13.70%	11.44%	11.62%
Aditya BSL Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	2.0		-0.14%	-11.25%	-10.41%	-8.37%	-11.14%	-0.95%	2.96%	13.67%	9.31%	12.26%
Quantum Value Dir Gr	Direct Plan	Value	2.0		-2.45%	-11.37%	-14.78%	-11.22%	-14.78%	-7.13%	1.79%	13.65%	11.31%	11.50%
Aditya BSL ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	2.0		-0.51%	-10.69%	-12.11%	-9.05%	-12.69%	0.02%	3.93%	13.61%	7.82%	11.06%
Nippon India Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-2.63%	-11.45%	-14.18%	-11.58%	-14.18%	-3.90%	1.45%	13.56%		
Bandhan ELSS Tax saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-0.75%	-10.54%	-12.63%	-7.58%	-13.19%	-1.42%	1.22%	13.56%	14.35%	15.67%
Quant Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-3.14%	-12.52%	-14.23%	-11.48%	-14.23%	-3.86%	-2.73%	13.56%		
PGIM India Glb Sel RE Scs FoF Dir Gr	Direct Plan	Global - Other			-0.39%	-5.53%	6.48%	6.30%	7.20%	19.91%	12.58%	13.55%		
Invesco India ELSS Tax Saver Fund Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-0.41%	-11.47%	-15.28%	-15.38%	-15.98%	-7.95%	0.28%	13.55%	10.34%	13.47%
PGIM India Small Cap Dir Gr	Direct Plan	Small-Cap	2.0		-0.97%	-7.97%	-10.81%	-10.60%	-10.81%	1.25%	5.31%	13.53%		
Canara Robeco Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		-2.80%	-10.19%	-13.17%	-12.76%	-13.17%	-5.22%	2.83%	13.40%	12.39%	15.84%
HDFC Banking & Financial Svcs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-3.66%	-15.02%	-14.58%	-6.67%	-14.58%	1.15%	6.62%	13.38%		
Kotak Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-0.74%	-11.54%	-12.59%	-8.59%	-13.23%	-1.86%	3.52%	13.38%	11.56%	13.43%
Kotak Small Cap Dir Gr	Direct Plan	Small-Cap	3.0		0.14%	-10.47%	-11.42%	-13.62%	-12.43%	-6.66%	1.30%	13.31%	14.32%	17.07%
Parag Parikh ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-2.36%	-8.79%	-13.09%	-11.35%	-13.09%	-6.76%	3.71%	13.29%	15.05%	
HSBC Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.53%	-11.85%	-11.82%	-6.97%	-12.46%	-1.12%	2.08%	13.26%	10.52%	12.85%
SBI Long Term Advnt Fd Series VI Dir Gr	Direct Plan	ELSS (Tax Savings)			-2.59%	-13.70%	-15.98%	-13.75%	-15.98%	-5.52%	-0.36%	13.24%	12.99%	
Franklin India Focused Equity Dir Gr	Direct Plan	Focused Fund	3.0		-0.88%	-11.49%	-14.37%	-11.97%	-14.80%	-4.26%	0.63%	13.20%	13.28%	14.13%
Kotak ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-0.61%	-11.87%	-11.79%	-9.63%	-12.65%	-2.83%	1.40%	13.20%	12.99%	14.98%
Union Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-2.60%	-11.50%	-13.10%	-10.09%	-13.10%	-2.91%	1.02%	13.16%	12.21%	13.36%
Baroda BNP P IndiaCnsmptnDirGr	Direct Plan	Equity - Consumption	3.0		-1.64%	-10.41%	-15.41%	-14.33%	-15.41%	-6.43%	1.44%	13.12%	12.36%	
Sundaram Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-0.83%	-11.89%	-13.69%	-10.09%	-14.40%	-2.71%	2.62%	13.10%		
Mirae Asset HangSeng TECH ETF FoF Dir Gr	Direct Plan	Global - Other			-0.37%	-9.75%	-13.39%	-22.32%	-13.39%	-5.46%	33.86%	13.08%		
Canara Robeco ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-2.61%	-10.79%	-12.00%	-8.58%	-12.00%	-1.04%	3.49%	13.06%	12.17%	15.04%
JM Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-2.60%	-11.40%	-13.44%	-8.45%	-13.44%	-2.73%	-0.74%	13.05%	11.86%	11.63%
Franklin Asian Eq Dir Gr	Direct Plan	Global - Other			-0.30%	-10.57%	1.40%	7.25%	1.05%	27.00%	18.62%	13.04%	3.38%	9.42%
Nippon India Focused Dir Gr	Direct Plan	Focused Fund	3.0		-1.48%	-11.44%	-12.93%	-9.67%	-13.67%	-2.27%	3.28%	13.02%	11.67%	14.36%
Taurus Discovery (Midcap) Dir Gr	Direct Plan	Mid-Cap	2.0		-3.20%	-11.53%	-14.68%	-14.17%	-14.68%	-4.47%	-2.67%	13.01%	11.39%	14.34%
Baroda BNP P Aqua FoF Dir Gr	Direct Plan	Global - Other			-0.46%	-8.19%	2.40%	3.68%	3.33%	20.13%	9.14%	13.00%		
Axis ELSS Tax Saver Fd Dir Gr	Direct Plan	ELSS (Tax Savings)	2.0		-0.45%	-11.62%	-12.12%	-10.28%	-12.67%	-5.16%	0.81%	13.00%	7.66%	12.29%
Axis Flexi Cap Dir Gr	Direct Plan	Flexi Cap	2.0		-2.32%	-11.24%	-11.48%	-10.78%	-11.48%	-2.94%	3.32%	12.97%	9.83%	
Bandhan Nifty100 Low Vol 30 Idx Dir Gr	Direct Plan	Index Funds			-0.40%	-10.71%	-12.68%	-8.05%	-13.32%	-1.98%	1.02%	12.96%		
Tata Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.75%	-11.94%	-13.23%	-8.94%	-13.90%	-3.40%	1.94%	12.96%	11.52%	12.49%
Nippon Ind Nifty Alp Lw Vol30 Dir Gr	Direct Plan	Index Funds			-2.43%	-11.87%	-11.47%	-7.79%	-11.47%	-4.48%	-4.31%	12.96%		
ICICI Pru Nifty Alp LV 30 ETF FOF Dir Gr	Direct Plan	Equity - Other			-2.42%	-12.27%	-11.42%	-8.05%	-11.42%	-4.25%	-4.52%	12.92%		
UTI Focused Dir Gr	Direct Plan	Focused Fund	3.0		-2.39%	-11.21%	-13.71%	-10.78%	-13.71%	-4.45%	1.20%	12.92%		
360 ONE Focused Dir Gr	Direct Plan	Focused Fund	4.0		0.10%	-11.39%	-12.43%	-9.60%	-12.71%	-5.13%	1.38%	12.91%	12.65%	16.46%
Motilal Oswal Nifty 500 Dir Gr	Direct Plan	Index Funds			-2.55%	-11.37%	-13.90%	-9.50%	-13.90%	-3.00%	1.37%	12.90%	11.47%	
ICICI Pru Nifty 100 LV 30 ETF FOF Dir Gr	Direct Plan	Equity - Other			-1.08%	-9.87%	-12.69%	-7.39%	-12.69%	-1.38%	1.37%	12.90%		
Canara Robeco Flexi Cap Dir Gr	Direct Plan	Flexi Cap	4.0		-2.68%	-11.21%	-13.53%	-10.51%	-13.53%	-1.62%	3.11%	12.88%	11.77%	14.54%
Mahindra Manulife Consumption Dir Gr	Direct Plan	Equity - Consumption	4.0		-1.85%	-10.29%	-15.50%	-14.60%	-15.50%	-4.83%	0.29%	12.83%	12.62%	
Aditya BSL Business Cycle Dir Gr	Direct Plan	Equity - Other			-0.76%	-10.51%	-11.50%	-6.98%	-12.26%	-1.71%	3.40%	12.82%		
Edelweiss Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-2.35%	-11.55%	-12.72%	-7.86%	-12.72%	-2.61%	2.30%	12.80%	12.20%	13.67%
Union ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-2.36%	-11.28%	-13.07%	-10.14%	-13.07%	-2.39%	1.62%	12.80%	12.55%	12.85%
Aditya BSL ESG Intg Stgy Dir Gr	Direct Plan	Equity - ESG	3.0		-2.45%	-11.43%	-13.79%	-8.10%	-13.79%	-1.95%	5.26%	12.75%	10.03%	
Mahindra Manulife ELSS TaxSaverDirGr	Direct Plan	ELSS (Tax Savings)	4.0		-0.28%	-10.94%	-13.04%	-9.74%	-13.60%	-3.16%	2.15%	12.71%	12.69%	
Sundaram ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-0.86%	-12.03%	-13.94%	-10.49%	-14.64%	-3.75%	1.39%	12.70%	11.97%	13.69%
Franklin India Large Cap Dir Gr	Direct Plan	Large-Cap	2.0		-0.77%	-9.72%	-12.38%	-8.09%	-12.94%	-2.11%	3.08%	12.69%	10.02%	11.29%
SBI Long Term Advnt Fd Series IV Dir Gr	Direct Plan	ELSS (Tax Savings)			-3.20%	-12.70%	-13.47%	-9.51%	-13.47%	-1.31%	3.90%	12.67%	15.88%	
Axis Greater China Equity FoF Dir Gr	Direct Plan	Global - Other			0.18%	-3.58%	4.64%	3.66%	4.84%	37.66%	27.79%	12.62%	4.06%	
Aditya BSL Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.62%	-11.31%	-14.19%	-9.93%	-14.78%	-3.92%	2.16%	12.61%	11.25%	12.49%
SBI Dividend Yield Dir Gr	Direct Plan	Dividend Yield			0.09%	-11.20%	-10.41%	-6.70%	-10.98%	-0.92%	2.39%	12.59%		
ICICI Pru Bharat Consumption Dir Cum	Direct Plan	Equity - Consumption	4.0		-1.81%	-10.28%	-15.22%	-14.98%	-15.22%	-5.00%	-0.70%	12.56%	13.64%	
Mahindra Manulife Lrg Cap Dir Gr	Direct Plan	Large-Cap	4.0		-2.38%	-11.10%	-13.73%	-7.93%	-13.73%	-3.59%	2.29%	12.53%	11.49%	
Nippon India Consumption Dir Gr	Direct Plan	Equity - Consumption	4.0		-0.19%	-10.26%	-15.71%	-16.80%	-16.58%	-7.81%	-0.33%	12.50%	14.64%	13.59%
ITI Banking and Fin Svcs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-4.01%	-15.20%	-14.11%	-5.59%	-14.11%	0.14%	6.41%	12.46%		
Sundaram Focused Dir Gr	Direct Plan	Focused Fund	3.0		-0.05%	-10.11%	-11.84%	-9.28%	-12.87%	-4.31%	0.55%	12.43%	10.85%	13.67%
Canara Robeco Consumer Trends Dir Gr	Direct Plan	Equity - Consumption	5.0		-2.83%	-12.52%	-16.68%	-14.70%	-16.68%	-6.88%	0.43%	12.37%	12.30%	16.14%
ICICI Pru Global Stbl Eq(FOF) Dir Gr	Direct Plan	Global - Other			-0.27%	-3.55%	2.99%	6.87%	3.02%	15.83%	11.77%	12.37%	10.43%	9.93%
Canara Robeco Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-2.73%	-11.36%	-13.95%	-9.97%	-13.95%	-4.55%	2.58%	12.37%	11.04%	14.33%
Aditya BSL Consumption Dir Gr	Direct Plan	Equity - Consumption	4.0		-0.28%	-11.32%	-15.25%	-14.54%	-15.85%	-5.69%	1.38%	12.29%	11.94%	14.96%
Sundaram Consumption Dir Gr	Direct Plan	Equity - Consumption	2.0		0.16%	-10.85%	-16.38%	-16.83%	-17.16%	-8.07%	0.66%	12.26%	11.35%	12.97%
SBI Small Cap Fund Dir Gr	Direct Plan	Small-Cap	3.0		0.15%	-8.33%	-11.76%	-12.64%	-12.59%	-5.14%	0.46%	12.16%	14.33%	18.02%
UTI India Consumer Dir Gr	Direct Plan	Equity - Consumption	2.0		0.15%	-11.10%	-15.35%	-14.63%	-16.07%	-4.47%	0.71%	12.15%	10.24%	11.15%
ICICI Pru Banking & Fin Svcs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-1.51%	-14.51%	-15.04%	-10.98%	-15.72%	-4.07%	5.09%	12.14%	10.90%	14.69%
HDFC Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-2.77%	-11.99%	-13.49%	-8.94%	-13.49%	-4.85%	0.25%	12.09%	12.83%	13.39%
Groww Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-2.77%	-11.81%	-12.54%	-9.03%	-12.54%	-0.68%	0.96%	12.08%	10.64%	12.25%
Tata Multicap Dir Gr	Direct Plan	Multi-Cap	1.0		-0.17%	-10.43%	-11.14%	-7.02%	-11.90%	2.48%	2.26%	12.05%		
Tata Nifty India Dgtl ETF FoF Dir Gr	Direct Plan	Sector - Technology			-2.24%	-9.01%	-24.02%	-19.77%	-23.58%	-12.29%	-3.15%	12.03%		
Kotak ESG Exclusionary Strategy Dir Gr	Direct Plan	Equity - ESG	4.0		-2.71%	-11.88%	-13.51%	-9.60%	-13.51%	-2.26%	1.96%	11.99%	9.57%	
LIC MF ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-2.57%	-11.97%	-15.25%	-12.89%	-15.25%	-9.60%	2.46%	11.95%	11.16%	12.63%
UTI ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-0.67%	-11.48%	-13.67%	-10.50%	-14.28%	-4.81%	1.85%	11.94%	9.74%	12.33%
SBI Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.19%	-11.65%	-12.21%	-7.84%	-12.84%	-2.50%	3.06%	11.93%	10.76%	12.60%
Navi Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-3.14%	-11.34%	-11.53%	-6.70%	-11.53%	1.44%	3.25%	11.91%	12.10%	
Union Focused Dir Gr	Direct Plan	Focused Fund	3.0		-1.66%	-9.41%	-6.86%	-7.42%	-6.86%	0.61%	2.25%	11.85%	11.00%	
LIC MF Flexi Cap Dir Gr	Direct Plan	Flexi Cap	2.0		-2.11%	-10.52%	-14.99%	-11.64%	-14.99%	0.53%	1.59%	11.80%	9.63%	10.16%
Baroda BNP P Focused Dir Gr	Direct Plan	Focused Fund	3.0		-2.84%	-11.47%	-15.42%	-9.82%	-15.42%	-4.21%	-0.89%	11.79%	11.22%	
DSP Nifty Midcap 150 Qul 50 Dir Gr	Direct Plan	Index Funds			-0.02%	-11.51%	-12.49%	-11.90%	-13.62%	-5.06%	1.78%	11.72%		
PGIM India Midcap Fund Dir Gr	Direct Plan	Mid-Cap	2.0		-2.16%	-10.57%	-12.20%	-11.98%	-12.20%	-2.56%	3.22%	11.67%	13.94%	16.38%
UTI BSE Low Volatility Index Dir Gr	Direct Plan	Index Funds			-1.69%	-10.87%	-12.76%	-8.16%	-12.76%	-3.17%	-1.39%	11.54%		
Groww ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	2.0		-2.58%	-11.62%	-14.50%	-12.17%	-14.50%	-4.24%	-1.08%	11.48%	10.16%	
Motilal Oswal BSE Low Vol Idx Dir Gr	Direct Plan	Index Funds			-1.70%	-10.95%	-12.82%	-8.20%	-12.82%	-3.14%	-1.44%	11.46%		
ITI Large Cap Dir Gr	Direct Plan	Large-Cap	2.0		-2.91%	-11.92%	-15.07%	-10.55%	-15.07%	-6.54%	-1.31%	11.44%	9.37%	
Quant Focused fund Dir Gr	Direct Plan	Focused Fund	4.0		-3.26%	-13.53%	-15.59%	-13.56%	-15.59%	-7.97%	-5.32%	11.36%	12.04%	13.92%
UTI Nifty Midcap 150 Qual 50 Idx Dir Gr	Direct Plan	Index Funds			-2.22%	-11.52%	-13.68%	-12.03%	-13.68%	-5.30%	1.65%	11.23%		
Taurus Flexi Cap Dir Gr	Direct Plan	Flexi Cap	2.0		-3.85%	-11.55%	-13.71%	-11.85%	-13.71%	-7.50%	-2.16%	11.20%	9.23%	9.04%
SBI ESG Exclusionary Strategy Dir Gr	Direct Plan	Equity - ESG	4.0		-0.43%	-12.71%	-13.83%	-10.45%	-14.45%	-5.32%	1.43%	11.14%	9.82%	12.05%
Axis Quant Dir Gr	Direct Plan	Equity - Other			-2.33%	-13.10%	-13.99%	-8.34%	-13.99%	-3.28%	-2.95%	11.14%		
Navi Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		-3.34%	-12.43%	-13.71%	-9.99%	-13.71%	-3.65%	3.88%	11.12%	12.14%	14.19%
Edelweiss ASEAN Equity Off Shore Dir Gr	Direct Plan	Global - Other			-0.61%	-4.33%	3.30%	8.68%	3.30%	24.56%	18.09%	11.07%	9.21%	8.77%
Taurus ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-3.06%	-9.86%	-13.43%	-12.51%	-13.43%	-8.63%	0.10%	11.06%	11.37%	13.10%
Sundaram Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.49%	-10.39%	-11.77%	-8.06%	-12.69%	-4.25%	0.05%	11.06%	10.50%	
UTI MNC Dir Gr	Direct Plan	Equity - Other			-0.43%	-10.47%	-13.18%	-11.71%	-13.72%	-0.97%	0.87%	11.03%	9.23%	10.20%
SBI Flexicap Dir Gr	Direct Plan	Flexi Cap	3.0		-0.84%	-11.53%	-13.31%	-9.86%	-13.88%	-3.20%	1.20%	11.02%	10.02%	12.70%
Bandhan Nifty 100 Index Dir Gr	Direct Plan	Index Funds			-2.64%	-11.64%	-14.18%	-9.36%	-14.18%	-4.02%	0.82%	11.00%		
Axis Nifty 100 Index Dir Gr	Direct Plan	Index Funds			-2.64%	-11.64%	-14.20%	-9.40%	-14.20%	-4.08%	0.76%	10.92%	10.05%	
SBI Consumption Opportunities Dir Gr	Direct Plan	Equity - Consumption	3.0		0.52%	-10.25%	-13.87%	-14.35%	-14.58%	-10.08%	-0.60%	10.91%	14.81%	14.70%
Tata Housing Opportunities Dir Gr	Direct Plan	Equity - Other			-0.31%	-14.93%	-14.41%	-13.58%	-15.14%	-6.35%	-2.08%	10.89%		
Edelweiss Nifty100 Qul 30 Idx Dir Gr	Direct Plan	Index Funds			-2.22%	-9.51%	-13.97%	-9.34%	-13.97%	-2.65%	0.32%	10.89%		
