Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
HDFC NIFTY Next 50 Index Dir Gr	Direct Plan	Index Funds			-3.15%	-13.31%	-12.81%	-10.85%	-12.81%	-3.71%	0.01%	17.12%		
Kotak Infra & Econ Reform Dir Gr	Direct Plan	Equity - Infrastructure	3.0		-0.14%	-11.89%	-9.80%	-8.59%	-10.78%	2.04%	2.56%	17.11%	19.96%	16.36%
Bandhan Focused Dir Gr	Direct Plan	Focused Fund	3.0		-0.81%	-10.08%	-10.84%	-9.73%	-11.87%	-1.33%	5.57%	17.09%	12.29%	13.75%
JM Flexicap Dir Gr	Direct Plan	Flexi Cap	4.0		-2.48%	-11.40%	-13.83%	-13.18%	-13.83%	-7.31%	0.43%	17.08%	15.69%	16.76%
Edelweiss Large & Mid Dir Gr	Direct Plan	Large & Mid-Cap	4.0		-2.54%	-10.27%	-12.31%	-6.46%	-12.31%	0.96%	5.71%	17.01%	14.62%	15.42%
HDFC ELSS TaxSaver Dir Gr	Direct Plan	ELSS (Tax Savings)	5.0		-2.43%	-12.02%	-13.97%	-10.83%	-13.97%	-3.50%	4.51%	16.96%	17.19%	14.19%
HSBC ELSS Tax saver Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		0.31%	-10.78%	-10.86%	-9.53%	-11.79%	-1.57%	5.99%	16.94%	13.12%	13.72%
Union Multicap Dir Gr	Direct Plan	Multi-Cap	3.0		-1.70%	-10.41%	-10.83%	-7.38%	-10.83%	1.41%	5.19%	16.93%		
DSP Focused Dir Gr	Direct Plan	Focused Fund	3.0		0.07%	-12.05%	-13.34%	-9.79%	-14.04%	-5.48%	5.63%	16.92%	11.40%	12.52%
ICICI Pru Exports and Services Dir Gr	Direct Plan	Equity - Other			-0.34%	-9.16%	-12.08%	-8.13%	-12.60%	-2.68%	4.93%	16.89%	16.07%	13.86%
HDFC Large and Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	4.0		-2.46%	-12.08%	-14.09%	-10.55%	-14.09%	-2.66%	2.83%	16.88%	16.32%	14.39%
Edelweiss Recently Listed IPO Dir Gr	Direct Plan	Equity - Other			-2.59%	-6.27%	-11.89%	-11.85%	-11.89%	1.67%	3.59%	16.80%	10.95%	
Edelweiss Flexi Cap Dir Gr	Direct Plan	Flexi Cap	4.0		-2.15%	-10.88%	-12.67%	-6.95%	-12.67%	0.39%	5.70%	16.78%	14.87%	15.63%
Baroda BNP P Multi Cap Dir Gr	Direct Plan	Multi-Cap	3.0		0.69%	-9.15%	-11.34%	-8.91%	-11.88%	-2.61%	3.30%	16.77%	15.22%	14.61%
SBI Contra Dir Gr	Direct Plan	Contra			-0.62%	-11.18%	-12.15%	-7.19%	-12.86%	-2.40%	2.67%	16.71%	18.85%	16.18%
Edelweiss US Value Equity Offshore Dr Gr	Direct Plan	Global - Other			-1.26%	-1.65%	2.66%	8.87%	2.66%	21.05%	14.09%	16.68%	13.11%	13.03%
SBI Focused Dir Gr	Direct Plan	Focused Fund	4.0		-1.49%	-10.03%	-11.67%	-4.85%	-11.94%	3.46%	7.85%	16.64%	13.28%	15.20%
HDFC Value Dir Gr	Direct Plan	Value	3.0		-2.56%	-11.23%	-12.78%	-7.71%	-12.78%	0.94%	5.38%	16.58%	14.98%	14.31%
Sundaram LT Tax Ad Sr IV Dir Gr	Direct Plan	ELSS (Tax Savings)			1.17%	-9.39%	-11.19%	-9.64%	-12.29%	5.15%	4.22%	16.57%	20.27%	
HDFC Multi Cap Dir Gr	Direct Plan	Multi-Cap	3.0		-2.36%	-10.87%	-13.63%	-10.93%	-13.63%	-2.76%	2.47%	16.57%		
Aditya BSL Flexi Cap Dir Gr	Direct Plan	Flexi Cap	4.0		-0.24%	-10.22%	-11.52%	-5.87%	-12.19%	1.23%	6.20%	16.55%	12.89%	14.65%
UTI Infrastructure Dir Gr	Direct Plan	Equity - Infrastructure	2.0		0.03%	-11.11%	-9.59%	-7.75%	-10.63%	-3.07%	0.88%	16.55%	14.66%	13.55%
Sundaram Glbl Brnd Thm Eq Actv FoFDir Gr	Direct Plan	Global - Other			-2.32%	-6.26%	-6.21%	0.09%	-5.84%	20.12%	11.71%	16.47%	11.65%	12.11%
Axis Small Cap Fund Dir Gr	Direct Plan	Small-Cap	4.0		0.43%	-8.72%	-10.28%	-10.35%	-11.06%	-1.73%	4.99%	16.45%	17.83%	18.77%
Bank of India ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	5.0		-0.18%	-8.70%	-8.08%	-6.39%	-8.94%	-1.27%	-0.14%	16.41%	14.41%	16.83%
Sundaram Nifty 100 Equal Wgt Dir Gr	Direct Plan	Index Funds			-0.86%	-11.68%	-11.07%	-8.91%	-11.86%	-1.07%	1.30%	16.39%	12.53%	11.95%
Union Value Fund Dir Gr	Direct Plan	Value	3.0		-2.21%	-11.10%	-11.65%	-7.29%	-11.65%	0.70%	3.96%	16.36%	14.65%	
ICICI Pru Flexicap Dir Gr	Direct Plan	Flexi Cap	4.0		-1.96%	-11.99%	-13.72%	-11.03%	-13.72%	2.39%	3.70%	16.36%		
Kotak Business Cycle Dir Gr	Direct Plan	Equity - Other			0.34%	-10.46%	-12.18%	-10.71%	-13.01%	1.39%	7.26%	16.33%		
Nippon India Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-0.76%	-11.47%	-12.56%	-9.72%	-13.18%	-1.53%	2.98%	16.29%	15.88%	14.93%
