Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Parag Parikh Large Cap Dir Gr	Direct Plan	Large Cap Fund			-0.85%	-11.55%								
qsif Equity Ex-Top 100 L-S Dir Gr	Direct Plan	Large Cap Fund			-0.20%	-7.60%	-12.12%		-12.73%					
WhiteOak Capital Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	5.0		1.11%	-8.87%	-10.14%	-6.06%	-11.13%	6.88%	10.92%	25.15%		
Invesco India Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	5.0		-0.57%	-11.72%	-13.68%	-11.17%	-14.46%	3.52%	11.45%	24.29%	19.35%	18.96%
Edelweiss Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	5.0		0.34%	-10.45%	-10.88%	-6.25%	-11.68%	3.77%	11.21%	23.98%	20.27%	19.23%
Nippon India Growth Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	5.0		-0.33%	-11.49%	-8.60%	-6.44%	-9.54%	3.62%	9.00%	23.82%	20.49%	18.93%
ICICI Pru MidCap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.27%	-10.01%	-7.61%	-1.15%	-8.49%	12.00%	10.35%	23.64%	18.87%	17.13%
Mahindra Manulife Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	5.0		0.38%	-9.53%	-7.40%	-4.08%	-8.58%	3.21%	7.22%	23.42%	19.91%	
HSBC Midcap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.41%	-9.32%	-8.64%	-5.51%	-9.30%	8.67%	8.85%	23.23%	17.19%	17.24%
HDFC Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	5.0		0.40%	-10.96%	-10.33%	-5.83%	-11.27%	4.56%	7.91%	23.04%	20.67%	18.40%
ITI Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	4.0		-0.33%	-11.54%	-12.44%	-6.16%	-13.20%	1.59%	4.93%	22.69%	16.26%	
Sundaram Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.36%	-10.82%	-10.57%	-6.81%	-11.51%	3.55%	8.34%	22.60%	18.16%	15.46%
JM Midcap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.42%	-9.60%	-10.72%	-11.07%	-11.74%	-1.81%	6.06%	21.83%		
Baroda BNP P Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.99%	-9.27%	-7.70%	-3.57%	-8.49%	5.23%	7.64%	20.40%	17.24%	16.83%
Union Midcap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.30%	-10.25%	-9.18%	-7.00%	-10.18%	4.19%	7.65%	20.15%	17.29%	
Tata Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	4.0		-0.22%	-10.42%	-11.00%	-6.02%	-11.77%	3.21%	5.59%	20.09%	16.65%	16.82%
Kotak Midcap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.43%	-10.81%	-9.35%	-9.43%	-10.48%	4.28%	10.23%	19.69%	17.68%	18.64%
Bandhan Midcap Dir Gr	Direct Plan	Mid Cap Fund	3.0		0.25%	-9.89%	-9.45%	-9.25%	-10.22%	2.36%	6.48%	19.45%		
Motilal Oswal Midcap Dir Gr	Direct Plan	Mid Cap Fund	3.0		-0.38%	-9.31%	-17.34%	-17.94%	-18.25%	-12.14%	1.89%	19.23%	21.24%	16.98%
