annualized3Y	fundCode	invCategory	invType	isin	ltd	mc30	rank	rating	risk	schemeCode	schemeName	schemePlan	sipReturns	slug_url	trailingReturns	updatedDate	yearlyReturns
18.55	0C00001P1X	Contra	Equity	INF174K01KZ9	2026-03-30T18:30:00.000Z	False			Very High Risk	FSGBR071P4	Kotak Contra Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 9.78, ""absoluteReturn"": 5.46}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.86, ""absoluteReturn"": 8.61}, {""frequency"": ""3Y"", ""annualisedReturn"": 15.21, ""absoluteReturn"": 27.32}, {""frequency"": ""5Y"", ""annualisedReturn"": 18.21, ""absoluteReturn"": 63.73}, {""frequency"": ""10Y"", ""annualisedReturn"": 18.66, ""absoluteReturn"": 192.27}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	kotak-india-eq-contra-fund-direct-plan/MKM530	"[{""frequency"": ""1W"", ""annualisedReturn"": -0.47, ""absoluteReturn"": -0.47}, {""frequency"": ""1M"", ""annualisedReturn"": -12.04, ""absoluteReturn"": -12.04}, {""frequency"": ""3M"", ""annualisedReturn"": -12.17, ""absoluteReturn"": -12.17}, {""frequency"": ""6M"", ""annualisedReturn"": -8.37, ""absoluteReturn"": -8.37}, {""frequency"": ""YTD"", ""annualisedReturn"": -12.89, ""absoluteReturn"": -12.89}, {""frequency"": ""1Y"", ""annualisedReturn"": 0.6, ""absoluteReturn"": 0.6}, {""frequency"": ""2Y"", ""annualisedReturn"": 4.56, ""absoluteReturn"": 9.33}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.55, ""absoluteReturn"": 66.62}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.77, ""absoluteReturn"": 107.95}, {""frequency"": ""10Y"", ""annualisedReturn"": 16.99, ""absoluteReturn"": 380.32}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.73, ""absoluteReturn"": 592.88}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 16.71}, {""frequency"": ""2021"", ""value"": 31.94}, {""frequency"": ""2022"", ""value"": 8.88}, {""frequency"": ""2023"", ""value"": 36.86}, {""frequency"": ""2024"", ""value"": 23.74}, {""frequency"": ""2025"", ""value"": 8.82}, {""frequency"": ""2026"", ""value"": -12.89}]"
18.55	0C0000BRKM	Mid-Cap	Equity	INF769K01FA9	2026-03-30T18:30:00.000Z	False	3	3	Very High Risk	FS0000FF92	Mirae Asset Midcap Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 9.55, ""absoluteReturn"": 5.33}, {""frequency"": ""2Y"", ""annualisedReturn"": 8.34, ""absoluteReturn"": 9.17}, {""frequency"": ""3Y"", ""annualisedReturn"": 14.39, ""absoluteReturn"": 25.62}, {""frequency"": ""5Y"", ""annualisedReturn"": 17.07, ""absoluteReturn"": 58.5}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	mirae-asset-midcap-fund-direct-plan/MMA173	"[{""frequency"": ""1W"", ""annualisedReturn"": -2.66, ""absoluteReturn"": -2.66}, {""frequency"": ""1M"", ""annualisedReturn"": -11.19, ""absoluteReturn"": -11.19}, {""frequency"": ""3M"", ""annualisedReturn"": -13.59, ""absoluteReturn"": -13.59}, {""frequency"": ""6M"", ""annualisedReturn"": -8.58, ""absoluteReturn"": -8.58}, {""frequency"": ""YTD"", ""annualisedReturn"": -13.59, ""absoluteReturn"": -13.59}, {""frequency"": ""1Y"", ""annualisedReturn"": 6.05, ""absoluteReturn"": 6.05}, {""frequency"": ""2Y"", ""annualisedReturn"": 5.9, ""absoluteReturn"": 12.16}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.55, ""absoluteReturn"": 66.59}, {""frequency"": ""5Y"", ""annualisedReturn"": 16.73, ""absoluteReturn"": 116.77}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 21.08, ""absoluteReturn"": 258.8}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 26.3}, {""frequency"": ""2021"", ""value"": 50.6}, {""frequency"": ""2022"", ""value"": 6.18}, {""frequency"": ""2023"", ""value"": 36.04}, {""frequency"": ""2024"", ""value"": 20.86}, {""frequency"": ""2025"", ""value"": 10.01}, {""frequency"": ""2026"", ""value"": -13.59}]"
18.49	0C000049GD	Mid-Cap	Equity	INF846K01EH3	2026-03-30T18:30:00.000Z	False	4	4	Very High Risk	FSUSA0BFWB	Axis Midcap Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 7, ""absoluteReturn"": 3.87}, {""frequency"": ""2Y"", ""annualisedReturn"": 6.95, ""absoluteReturn"": 7.57}, {""frequency"": ""3Y"", ""annualisedReturn"": 14.02, ""absoluteReturn"": 24.87}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.77, ""absoluteReturn"": 52.74}, {""frequency"": ""10Y"", ""annualisedReturn"": 18.56, ""absoluteReturn"": 190.34}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	axis-mid-cap-fund-direct-plan/MAA194	"[{""frequency"": ""1W"", ""annualisedReturn"": 0.18, ""absoluteReturn"": 0.18}, {""frequency"": ""1M"", ""annualisedReturn"": -9.83, ""absoluteReturn"": -9.83}, {""frequency"": ""3M"", ""annualisedReturn"": -8.19, ""absoluteReturn"": -8.19}, {""frequency"": ""6M"", ""annualisedReturn"": -7.54, ""absoluteReturn"": -7.54}, {""frequency"": ""YTD"", ""annualisedReturn"": -9.04, ""absoluteReturn"": -9.04}, {""frequency"": ""1Y"", ""annualisedReturn"": 2.37, ""absoluteReturn"": 2.37}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.34, ""absoluteReturn"": 15.21}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.49, ""absoluteReturn"": 66.36}, {""frequency"": ""5Y"", ""annualisedReturn"": 14.82, ""absoluteReturn"": 99.58}, {""frequency"": ""10Y"", ""annualisedReturn"": 17.63, ""absoluteReturn"": 407.09}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 17.83, ""absoluteReturn"": 778.91}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 27.77}, {""frequency"": ""2021"", ""value"": 41.78}, {""frequency"": ""2022"", ""value"": -3.86}, {""frequency"": ""2023"", ""value"": 31}, {""frequency"": ""2024"", ""value"": 31.39}, {""frequency"": ""2025"", ""value"": 2.04}, {""frequency"": ""2026"", ""value"": -9.04}]"
18.45	0C0000349B	Mid-Cap	Equity	INF209K01Q30	2026-03-30T18:30:00.000Z	False	2	2	Very High Risk	FSGBR071GX	Aditya BSL Mid Cap Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 3.43, ""absoluteReturn"": 1.88}, {""frequency"": ""2Y"", ""annualisedReturn"": 4.56, ""absoluteReturn"": 4.89}, {""frequency"": ""3Y"", ""annualisedReturn"": 12.21, ""absoluteReturn"": 21.26}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.39, ""absoluteReturn"": 51.11}, {""frequency"": ""10Y"", ""annualisedReturn"": 15.83, ""absoluteReturn"": 144.47}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	aditya-birla-sun-life-midcap-fund-direct-plan/MBS829	"[{""frequency"": ""1W"", ""annualisedReturn"": -0.11, ""absoluteReturn"": -0.11}, {""frequency"": ""1M"", ""annualisedReturn"": -10.73, ""absoluteReturn"": -10.73}, {""frequency"": ""3M"", ""annualisedReturn"": -12.5, ""absoluteReturn"": -12.5}, {""frequency"": ""6M"", ""annualisedReturn"": -8.88, ""absoluteReturn"": -8.88}, {""frequency"": ""YTD"", ""annualisedReturn"": -13.17, ""absoluteReturn"": -13.17}, {""frequency"": ""1Y"", ""annualisedReturn"": -1.31, ""absoluteReturn"": -1.31}, {""frequency"": ""2Y"", ""annualisedReturn"": 5.45, ""absoluteReturn"": 11.19}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.45, ""absoluteReturn"": 66.2}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.59, ""absoluteReturn"": 106.35}, {""frequency"": ""10Y"", ""annualisedReturn"": 14.07, ""absoluteReturn"": 272.96}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.2, ""absoluteReturn"": 551.92}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 16.67}, {""frequency"": ""2021"", ""value"": 51.71}, {""frequency"": ""2022"", ""value"": -4.47}, {""frequency"": ""2023"", ""value"": 41.07}, {""frequency"": ""2024"", ""value"": 23.02}, {""frequency"": ""2025"", ""value"": 5.23}, {""frequency"": ""2026"", ""value"": -13.17}]"
18.44	0C0000349B	Value	Equity	INF209K01WQ7	2026-03-30T18:30:00.000Z	False	3	3	Very High Risk	FSUSA08Q5X	Aditya BSL Value Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 6.84, ""absoluteReturn"": 3.78}, {""frequency"": ""2Y"", ""annualisedReturn"": 4.09, ""absoluteReturn"": 4.37}, {""frequency"": ""3Y"", ""annualisedReturn"": 11.13, ""absoluteReturn"": 19.18}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.54, ""absoluteReturn"": 51.76}, {""frequency"": ""10Y"", ""annualisedReturn"": 14.62, ""absoluteReturn"": 126.79}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	aditya-birla-sun-life-pure-value-fund-direct-plan/MBS831	"[{""frequency"": ""1W"", ""annualisedReturn"": -0.02, ""absoluteReturn"": -0.02}, {""frequency"": ""1M"", ""annualisedReturn"": -9.94, ""absoluteReturn"": -9.94}, {""frequency"": ""3M"", ""annualisedReturn"": -10.89, ""absoluteReturn"": -10.89}, {""frequency"": ""6M"", ""annualisedReturn"": -5.55, ""absoluteReturn"": -5.55}, {""frequency"": ""YTD"", ""annualisedReturn"": -11.81, ""absoluteReturn"": -11.81}, {""frequency"": ""1Y"", ""annualisedReturn"": -0.72, ""absoluteReturn"": -0.72}, {""frequency"": ""2Y"", ""annualisedReturn"": 1.83, ""absoluteReturn"": 3.7}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.44, ""absoluteReturn"": 66.14}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.14, ""absoluteReturn"": 102.39}, {""frequency"": ""10Y"", ""annualisedReturn"": 12.81, ""absoluteReturn"": 233.81}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.83, ""absoluteReturn"": 600.83}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 16.84}, {""frequency"": ""2021"", ""value"": 35.68}, {""frequency"": ""2022"", ""value"": 4.44}, {""frequency"": ""2023"", ""value"": 44.26}, {""frequency"": ""2024"", ""value"": 19.5}, {""frequency"": ""2025"", ""value"": 3.44}, {""frequency"": ""2026"", ""value"": -11.81}]"
18.42	0C0000CX2H	Large & Mid-Cap	Equity	INF740K01PL6	2026-03-30T18:30:00.000Z	False	4	4	Very High Risk	FSGBR071JD	DSP Large & Mid Cap Fund Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 7.43, ""absoluteReturn"": 4.12}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.36, ""absoluteReturn"": 8.04}, {""frequency"": ""3Y"", ""annualisedReturn"": 14.72, ""absoluteReturn"": 26.31}, {""frequency"": ""5Y"", ""annualisedReturn"": 16.92, ""absoluteReturn"": 57.82}, {""frequency"": ""10Y"", ""annualisedReturn"": 17.16, ""absoluteReturn"": 165.63}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	dsp-large-mid-cap-fund-direct-plan/MDS580	"[{""frequency"": ""1W"", ""annualisedReturn"": -0.26, ""absoluteReturn"": -0.26}, {""frequency"": ""1M"", ""annualisedReturn"": -11.83, ""absoluteReturn"": -11.83}, {""frequency"": ""3M"", ""annualisedReturn"": -12.24, ""absoluteReturn"": -12.24}, {""frequency"": ""6M"", ""annualisedReturn"": -7.67, ""absoluteReturn"": -7.67}, {""frequency"": ""YTD"", ""annualisedReturn"": -13.09, ""absoluteReturn"": -13.09}, {""frequency"": ""1Y"", ""annualisedReturn"": -2.76, ""absoluteReturn"": -2.76}, {""frequency"": ""2Y"", ""annualisedReturn"": 6.73, ""absoluteReturn"": 13.92}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.42, ""absoluteReturn"": 66.05}, {""frequency"": ""5Y"", ""annualisedReturn"": 14.78, ""absoluteReturn"": 99.25}, {""frequency"": ""10Y"", ""annualisedReturn"": 15.61, ""absoluteReturn"": 326.62}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.66, ""absoluteReturn"": 587.32}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 15.32}, {""frequency"": ""2021"", ""value"": 32.44}, {""frequency"": ""2022"", ""value"": 5.37}, {""frequency"": ""2023"", ""value"": 33.75}, {""frequency"": ""2024"", ""value"": 25.11}, {""frequency"": ""2025"", ""value"": 8.22}, {""frequency"": ""2026"", ""value"": -13.09}]"
18.31	0C0000953D	Equity - Other	Equity	INF109KC1F91	2026-03-29T18:30:00.000Z	False			Very High Risk	FS0000FMJQ	ICICI Pru Commodities Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 24.87, ""absoluteReturn"": 14.55}, {""frequency"": ""2Y"", ""annualisedReturn"": 15.77, ""absoluteReturn"": 18.21}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.42, ""absoluteReturn"": 34.22}, {""frequency"": ""5Y"", ""annualisedReturn"": 19.46, ""absoluteReturn"": 69.74}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	icici-prudential-commodities-fund-direct-plan/MPI4443	"[{""frequency"": ""1W"", ""annualisedReturn"": 1.29, ""absoluteReturn"": 1.29}, {""frequency"": ""1M"", ""annualisedReturn"": -10.65, ""absoluteReturn"": -10.65}, {""frequency"": ""3M"", ""annualisedReturn"": -6.06, ""absoluteReturn"": -6.06}, {""frequency"": ""6M"", ""annualisedReturn"": -2.34, ""absoluteReturn"": -2.34}, {""frequency"": ""YTD"", ""annualisedReturn"": -7.06, ""absoluteReturn"": -7.06}, {""frequency"": ""1Y"", ""annualisedReturn"": 9.44, ""absoluteReturn"": 9.44}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.43, ""absoluteReturn"": 15.41}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.31, ""absoluteReturn"": 65.6}, {""frequency"": ""5Y"", ""annualisedReturn"": 21.11, ""absoluteReturn"": 160.53}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 26.48, ""absoluteReturn"": 356.14}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 41.21}, {""frequency"": ""2021"", ""value"": 72.75}, {""frequency"": ""2022"", ""value"": 16.25}, {""frequency"": ""2023"", ""value"": 28.72}, {""frequency"": ""2024"", ""value"": 9.45}, {""frequency"": ""2025"", ""value"": 19.19}, {""frequency"": ""2026"", ""value"": -7.06}]"
18.24	0C00009534	Flexi Cap	Equity	INF179K01UT0	2026-03-30T18:30:00.000Z	False	5	5	Very High Risk	FSGBR071MG	HDFC Flexi Cap Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 7.9, ""absoluteReturn"": 4.38}, {""frequency"": ""2Y"", ""annualisedReturn"": 9.95, ""absoluteReturn"": 11.06}, {""frequency"": ""3Y"", ""annualisedReturn"": 16.49, ""absoluteReturn"": 30.02}, {""frequency"": ""5Y"", ""annualisedReturn"": 19.79, ""absoluteReturn"": 71.36}, {""frequency"": ""10Y"", ""annualisedReturn"": 18.94, ""absoluteReturn"": 197.53}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	hdfc-flexi-cap-fund-direct-plan-/MHD1144	"[{""frequency"": ""1W"", ""annualisedReturn"": -2.51, ""absoluteReturn"": -2.51}, {""frequency"": ""1M"", ""annualisedReturn"": -11.72, ""absoluteReturn"": -11.72}, {""frequency"": ""3M"", ""annualisedReturn"": -12.15, ""absoluteReturn"": -12.15}, {""frequency"": ""6M"", ""annualisedReturn"": -8.95, ""absoluteReturn"": -8.95}, {""frequency"": ""YTD"", ""annualisedReturn"": -12.15, ""absoluteReturn"": -12.15}, {""frequency"": ""1Y"", ""annualisedReturn"": -0.89, ""absoluteReturn"": -0.89}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.1, ""absoluteReturn"": 14.71}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.24, ""absoluteReturn"": 65.3}, {""frequency"": ""5Y"", ""annualisedReturn"": 18.69, ""absoluteReturn"": 135.52}, {""frequency"": ""10Y"", ""annualisedReturn"": 16.68, ""absoluteReturn"": 367.82}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.48, ""absoluteReturn"": 573.18}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 7.05}, {""frequency"": ""2021"", ""value"": 37}, {""frequency"": ""2022"", ""value"": 19.09}, {""frequency"": ""2023"", ""value"": 31.45}, {""frequency"": ""2024"", ""value"": 24.33}, {""frequency"": ""2025"", ""value"": 12.16}, {""frequency"": ""2026"", ""value"": -12.15}]"
18.19	0C00009535	Dividend Yield	Equity	INF397L01LC1	2026-03-30T18:30:00.000Z	False			Very High Risk	FS0000E6RC	LIC MF Dividend Yield Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 2.75, ""absoluteReturn"": 1.5}, {""frequency"": ""2Y"", ""annualisedReturn"": 4.39, ""absoluteReturn"": 4.7}, {""frequency"": ""3Y"", ""annualisedReturn"": 14.08, ""absoluteReturn"": 25}, {""frequency"": ""5Y"", ""annualisedReturn"": 16.98, ""absoluteReturn"": 58.08}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	lic-mf-dividend-yield-fund-direct-plan-growth/MIB250	"[{""frequency"": ""1W"", ""annualisedReturn"": -2.61, ""absoluteReturn"": -2.61}, {""frequency"": ""1M"", ""annualisedReturn"": -12.13, ""absoluteReturn"": -12.13}, {""frequency"": ""3M"", ""annualisedReturn"": -13.85, ""absoluteReturn"": -13.85}, {""frequency"": ""6M"", ""annualisedReturn"": -11.08, ""absoluteReturn"": -11.08}, {""frequency"": ""YTD"", ""annualisedReturn"": -13.85, ""absoluteReturn"": -13.85}, {""frequency"": ""1Y"", ""annualisedReturn"": -3.37, ""absoluteReturn"": -3.37}, {""frequency"": ""2Y"", ""annualisedReturn"": 4.78, ""absoluteReturn"": 9.79}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.19, ""absoluteReturn"": 65.11}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.02, ""absoluteReturn"": 101.33}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.87, ""absoluteReturn"": 192.16}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 25.91}, {""frequency"": ""2021"", ""value"": 31.77}, {""frequency"": ""2022"", ""value"": -0.22}, {""frequency"": ""2023"", ""value"": 33.74}, {""frequency"": ""2024"", ""value"": 33.29}, {""frequency"": ""2025"", ""value"": 4.39}, {""frequency"": ""2026"", ""value"": -13.85}]"
18.16	0C00003HJY	Index Funds	Equity	INF200KA16P2	2026-03-30T18:30:00.000Z	False			Very High Risk	FS0000HUIM	SBI Nifty Smallcap 250 Index Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": -7.36, ""absoluteReturn"": -3.9}, {""frequency"": ""2Y"", ""annualisedReturn"": -3.93, ""absoluteReturn"": -3.99}, {""frequency"": ""3Y"", ""annualisedReturn"": 6.46, ""absoluteReturn"": 10.62}, {""frequency"": ""5Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	sbi-nifty-smallcap-250-index-fund-direct-plan/MSB1871	"[{""frequency"": ""1W"", ""annualisedReturn"": 0.33, ""absoluteReturn"": 0.33}, {""frequency"": ""1M"", ""annualisedReturn"": -10.1, ""absoluteReturn"": -10.1}, {""frequency"": ""3M"", ""annualisedReturn"": -13.43, ""absoluteReturn"": -13.43}, {""frequency"": ""6M"", ""annualisedReturn"": -14.48, ""absoluteReturn"": -14.48}, {""frequency"": ""YTD"", ""annualisedReturn"": -14.42, ""absoluteReturn"": -14.42}, {""frequency"": ""1Y"", ""annualisedReturn"": -5.37, ""absoluteReturn"": -5.37}, {""frequency"": ""2Y"", ""annualisedReturn"": -0.2, ""absoluteReturn"": -0.39}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.16, ""absoluteReturn"": 64.96}, {""frequency"": ""5Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 13.39, ""absoluteReturn"": 55.84}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": null}, {""frequency"": ""2023"", ""value"": 48.19}, {""frequency"": ""2024"", ""value"": 26.28}, {""frequency"": ""2025"", ""value"": -5.97}, {""frequency"": ""2026"", ""value"": -14.42}]"
18.15	0C00001W9X	Equity - Other	Equity	INF277K015B9	2026-03-30T18:30:00.000Z	False			Very High Risk	FS0000CAKX	Tata Resources & Energy Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 13.7, ""absoluteReturn"": 7.74}, {""frequency"": ""2Y"", ""annualisedReturn"": 10.17, ""absoluteReturn"": 11.32}, {""frequency"": ""3Y"", ""annualisedReturn"": 15.38, ""absoluteReturn"": 27.68}, {""frequency"": ""5Y"", ""annualisedReturn"": 16.25, ""absoluteReturn"": 54.84}, {""frequency"": ""10Y"", ""annualisedReturn"": 18.72, ""absoluteReturn"": 193.35}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	tata-resources-energy-fund-direct-plan/MTA1159	"[{""frequency"": ""1W"", ""annualisedReturn"": 1.44, ""absoluteReturn"": 1.44}, {""frequency"": ""1M"", ""annualisedReturn"": -8.89, ""absoluteReturn"": -8.89}, {""frequency"": ""3M"", ""annualisedReturn"": -5.41, ""absoluteReturn"": -5.41}, {""frequency"": ""6M"", ""annualisedReturn"": -4.08, ""absoluteReturn"": -4.08}, {""frequency"": ""YTD"", ""annualisedReturn"": -6.62, ""absoluteReturn"": -6.62}, {""frequency"": ""1Y"", ""annualisedReturn"": 4.51, ""absoluteReturn"": 4.51}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.35, ""absoluteReturn"": 15.23}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.15, ""absoluteReturn"": 64.92}, {""frequency"": ""5Y"", ""annualisedReturn"": 15.63, ""absoluteReturn"": 106.72}, {""frequency"": ""10Y"", ""annualisedReturn"": 17.19, ""absoluteReturn"": 388.75}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 17.24, ""absoluteReturn"": 411.15}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 32.89}, {""frequency"": ""2021"", ""value"": 49.05}, {""frequency"": ""2022"", ""value"": 3.08}, {""frequency"": ""2023"", ""value"": 29.73}, {""frequency"": ""2024"", ""value"": 14.89}, {""frequency"": ""2025"", ""value"": 12.38}, {""frequency"": ""2026"", ""value"": -6.62}]"
18.13	0C00001UQY	Small-Cap	Equity	INF761K01EP7	2026-03-30T18:30:00.000Z	False	4	4	Very High Risk	FS0000E43R	Bank of India Small Cap Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": -3.76, ""absoluteReturn"": -2.01}, {""frequency"": ""2Y"", ""annualisedReturn"": -1.26, ""absoluteReturn"": -1.31}, {""frequency"": ""3Y"", ""annualisedReturn"": 8.33, ""absoluteReturn"": 13.95}, {""frequency"": ""5Y"", ""annualisedReturn"": 14.85, ""absoluteReturn"": 48.84}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	bank-of-india-small-cap-fund-direct-plan-growth/MBA203	"[{""frequency"": ""1W"", ""annualisedReturn"": -1.37, ""absoluteReturn"": -1.37}, {""frequency"": ""1M"", ""annualisedReturn"": -7.6, ""absoluteReturn"": -7.6}, {""frequency"": ""3M"", ""annualisedReturn"": -9.63, ""absoluteReturn"": -9.63}, {""frequency"": ""6M"", ""annualisedReturn"": -10.49, ""absoluteReturn"": -10.49}, {""frequency"": ""YTD"", ""annualisedReturn"": -9.63, ""absoluteReturn"": -9.63}, {""frequency"": ""1Y"", ""annualisedReturn"": -1.83, ""absoluteReturn"": -1.83}, {""frequency"": ""2Y"", ""annualisedReturn"": 4.48, ""absoluteReturn"": 9.17}, {""frequency"": ""3Y"", ""annualisedReturn"": 18.13, ""absoluteReturn"": 64.86}, {""frequency"": ""5Y"", ""annualisedReturn"": 18.85, ""absoluteReturn"": 137.1}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 23.14, ""absoluteReturn"": 355}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 55.11}, {""frequency"": ""2021"", ""value"": 73.72}, {""frequency"": ""2022"", ""value"": 0.1}, {""frequency"": ""2023"", ""value"": 42.84}, {""frequency"": ""2024"", ""value"": 31.96}, {""frequency"": ""2025"", ""value"": -7.19}, {""frequency"": ""2026"", ""value"": -9.63}]"
